Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords,Translated Meta Title,Translated Meta Description,Translated Additional Meta Title,Translated Additional Meta Description
"COMERCIO TEXTIL ATLANTIC SUD, LDA",PT,Portugal,RIO COVO (SANTA EULALIA),,4771,Commerce de détail d'habillement en magasin spécialisé,,,"Organização, criação, produção e comércio de vestuário têxtil desportivo, acessórios e souvenirs turísticos. Comércio a retalho de bebidas (águas, refrigerantes e licores) e enlatados (sardinhas, atum e todo o tipo de conservas). Comércio a retalho de perfumes, artigos de cosmética e preservativos. Comércio a retalho de utensílios eletrónicos (carregadores, adaptadores e todo o tipo de periféricos)",,www.forcaportugal.com,0,-1,1,8,4,10,YES,NO,NO,,,,,,,,,,,
EMPORIO COM SRL,RO,Roumanie,CONSTANTA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing products,Retail,,Engaged in the retail sale of clothing products [source: Bureau van Dijk],,0,0,0,8,7,16,YES,NO,NO,,,,,,,,,,,
"PIRES & IRMAO, LDA",PT,Portugal,BRAGA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the wholesale distribution of the watches, clocks and electronic items for upscale consumer market and promotion market",Wholesale,Retalhista de artigos de ourivesaria e relojoaria - 100%,"Engaged in the wholesale distribution of the watches, clocks and electronic items for upscale consumer market and promotion market [source: Bureau van Dijk]",www.piresjoalheiros.pt,1,1,1,8,8,11,YES,NO,NO,piresjoalheiros.pt,Distribuidor oficial Rolex em Braga | Pires Joalheiros - Desde 1927,"A Pires Joalheiros em Braga tem orgulho em fazer parte da rede mundial de distribuidores oficiais Rolex, com autorizaÃ§Ã£o para vender e realizar a manutenÃ§Ã£o dos relÃ³gios Rolex. Continuidade, modernidade e tradiÃ§Ã£o sÃ£o os pilares da nossa empresa, que hÃ¡ mais de 80 anos ocupa uma posiÃ§Ã£o privilegiada no coraÃ§Ã£o da nossa cidade.","Pires, Joalheiros, Relojoaria, Joalharia, Ouro, Prata, Casamento, AcessÃ³rios, ReparaÃ§Ã£o, Rolex, Cartier, Omega, Montblanc, Tudor, Chronoswiss, Seven Friday, Cuervo y Sobrinos, Ulisse Cardin,Briston, Eleuterio, Damaso Martinez, K di Kuore, Utopia, Baraka, Antora, Hublot, Reguladora, Coscia, Eberhard, Masi Gioieli",Distribuidor oficial Rolex em Braga | Pires Joalheiros - Desde 1927,"A Pires Joalheiros em Braga tem orgulho em fazer parte da rede mundial de distribuidores oficiais Rolex, com autorizaÃ§Ã£o para vender e realizar a manutenÃ§Ã£o dos relÃ³gios Rolex. Continuidade, modernidade e tradiÃ§Ã£o sÃ£o os pilares da nossa empresa, que hÃ¡ mais de 80 anos ocupa uma posiÃ§Ã£o privilegiada no coraÃ§Ã£o da nossa cidade.","Pires, Joalheiros, Relojoaria, Joalharia, Ouro, Prata, Casamento, AcessÃ³rios, ReparaÃ§Ã£o, Rolex, Cartier, Omega, Montblanc, Tudor, Chronoswiss, Seven Friday, Cuervo y Sobrinos, Ulisse Cardin,Briston, Eleuterio, Damaso Martinez, K di Kuore, Utopia, Baraka, Antora, Hublot, Reguladora, Coscia, Eberhard, Masi Gioieli",Official Distributor Rolex in Braga | PIRES JOELHEIROS - Since 1927,"Pires Jewelers in Braga is proud to be part of the World Rolex Official Distributors, with authorization to sell and perform the maintenance of the Rolex relief. Continuity, modernity and tradition are the pillars of our company, which has been in more than 80 years a privileged position in the heart of our city.",Official Distributor Rolex in Braga | PIRES JOELHEIROS - Since 1927,"Pires Jewelers in Braga is proud to be part of the World Rolex Official Distributors, with authorization to sell and perform the maintenance of the Rolex relief. Continuity, modernity and tradition are the pillars of our company, which has been in more than 80 years a privileged position in the heart of our city."
RAMIKA PRO OY,FI,Finlande,VANTAA,,4771,Commerce de détail d'habillement en magasin spécialisé,,,"Yhtiön toimiala on Lastentarvikkeiden vähittäiskauppa-, vuokraus-, tuonti-, vienti sekä agentuuritoiminta. Yhtiö harjoittaa myös arvopaperikauppaa- ja kiinteistöjen omistusta, vuokrausta, välitystä ja kauppaa.","Yhtion toimiala on Lastentarvikkeiden vahittaiskauppa-, vuokraus-, tuonti-, vienti seka agentuuritoiminta. Yhtio harjoittaa myos arvopaperikauppaa- ja kiinteistojen omistusta, vuokrausta, valitysta ja kauppaa.",www.lastenturva.fi,1,1,0,8,6,5,YES,NO,NO,,,,,,,,,,,
TAMAR Y ARIMA S.L.,ES,Espagne,SANTANDER,,4771,Commerce de détail d'habillement en magasin spécialisé,,,Venta de prendas de vestir y complementos para bebes.,,www.donacarmen.es,1,0,0,8,6,6,YES,NO,NO,,,,,,,,,,,
P. BASTIANI S.R.L.,IT,Italie,TRIESTE,VIA SAN NICOLO' 19,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.orologeriabastiani.com,1,0,0,8,6,7,YES,NO,NO,,Rivenditore Ufficiale Rolex a Trieste | Orologeria Bastiani,Orologeria Bastiani - Trieste è orgogliosa di far parte del network ufficiale rivenditori Rolex - Vendita e assistenza orologi Rolex.,,,,,Official Rolex dealer in Trieste | Bastiani watchmaking,VIRCIERIA BATCIANI - TRIESTE is proud to be part of the official Rolex retailer network - Rolex watches and assistance.,,
JARL SANDIN & SONER GULD OCH SILVER AKTIEBOLAG,SE,Suède,GOTEBORG,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of jewelry and related articles,Retail,Bolaget skall bedriva detaljhandel med ädelmetaller och därmedförenlig verksamhet.,Bolaget skall bedriva detaljhandel med adelmetaller och darmedforenlig verksamhet.,www.jarlsandin.se,0,0,0,8,6,7,YES,NO,NO,,"Smycken, Juveler & Kvalitetsklockor - E-handel & butik | Jarl Sandin","Handla smycken, juveler och kvalitetsklockor att bÃ¤ra och Ã¤lska. Tongivande varumÃ¤rken, egen smyckedesign samt fÃ¶rlovning & vigsel.",,,,,"Jewelery, Jewels & Quality Watches - E -commerce & store | Jarl Sandin","Shop jewelry, jewels and quality clocks to tie and love. Long -giving brand, own jewelry design and promise & marriage.",,
GIOIELLERIE VERONELLI S.R.L.,IT,Italie,LURAGO D'ERBA,VIA ROMA 64,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.veronelligioielli.it,2,2,2,8,6,7,YES,NO,NO,,Gioielleria Veronelli - Veronelli Gioielli,,,,,,Veronelli jewelry - Veronelli Gioielli,,,
MINIPRIX SRL,RO,Roumanie,ORAS OTOPENI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of ready-made clothing,Retail,,Engaged in the retail distribution of ready-made clothing [source: Bureau van Dijk],www.miniprix.ro,1,0,0,8,7,12,YES,NO,NO,,"Imbracaminte, incaltaminte si accesorii online | Miniprix","Daca tie iti place, e perfect. Haine, incaltaminte si accesorii pentru Femei, barbati si copii. Reduceri si produse noi, in fiecare zi.",,,,,"Clothes, shoes and accessories online | Miniprix","If you like it, it's perfect. Clothes, shoes and accessories for women, men and children. New discounts and products, every day.",,
"BOM CALCADO, S.A.",PT,Portugal,LEIRIA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,"Comércio a retalho de calçado, em estabelecimentos especializados",Engaged in the retail sale of footwear [source: Bureau van Dijk],www.stara.pt,0,-1,-1,8,8,12,YES,YES,,stara.pt,Home | Stara - Loja de Calçado,"Nas lojas “Stara” pode encontrar todos os segmentos de calçado, para homem, senhora e criança, bem como artigos de viagem, desporto e marroquinaria.","calçado, stara, botas, sapatilhas",Home | Stara - Loja de Calçado,"Nas lojas “Stara” pode encontrar todos os segmentos de calçado, para homem, senhora e criança, bem como artigos de viagem, desporto e marroquinaria.","calçado, stara, botas, sapatilhas",Home | Stara - Footwear Store,"In “Stara” stores you can find all segments of shoes, for man, lady and child, as well as travel, sport and Moroccoria.",Home | Stara - Footwear Store,"In “Stara” stores you can find all segments of shoes, for man, lady and child, as well as travel, sport and Moroccoria."
SWAP S.R.L.,IT,Italie,NAPOLI,PIAZZA DEI MARTIRI 58,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,en.swapparty.com,1,0,0,8,6,7,YES,NO,NO,,en.swapparty.com,,,,,,en.swapparty.com,,,
MAP PRESTIGIACOMO MODE - S.R.L.,IT,Italie,TRAPANI,VIA ANTONINO TURRETTA 3,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of clothing products and accessories,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail of clothing products and accessories [source: Bureau van Dijk],www.idressmap.com,0,-4,0,8,7,10,YES,NO,YES,"www.prestigiacomomode.it
www.idressmap.it",,,,,,,,,,
ARYA SRL,IT,Italie,PESCHIERA BORROMEO,VIA DELLA LIBERAZIONE 43,4771,Commerce de détail d'habillement en magasin spécialisé,,,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",,www.aryasrl.it,0,0,0,8,6,8,YES,NO,NO,,,,,,,,,,,
GIOIELLI DI MENICHELLI FRANCO & C. SRL,IT,Italie,VITERBO,PIAZZA GIUSEPPE VERDI 22,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the sale of jewelry or precious stones,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the sale of jewelry or precious stones [source: Bureau van Dijk],www.menichelli1912.it,1,1,1,8,6,7,YES,NO,NO,,Menichelli1912 - Menichelli,"Gioielleria Menichelli1912: un secolo di esperienza nel mondo dei gioielli, orologi e pietre preziose. Scoprili tutti nella boutique a Viterbo",,,,,Menichelli1912 - Menichelli,"Menichelli1912 jewelry: a century of experience in the world of jewelry, watches and precious stones. Discover them all in the boutique in Viterbo",,
DANIEL MOSKOU,RU,Fédération de Russie,MOSCOW,,4751,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail trade and marketing of textile products,Retail,,Engaged in the retail trade and marketing of textile products [source: Bureau van Dijk],,0,0,0,8,6,9,YES,NO,NO,,,,,,,,,,,
E-SPACE S.R.L.,IT,Italie,UDINE,VIALE TRICESIMO 187,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail sale of clothing in specialised stores [source: Bureau van Dijk],www.e-space.it,1,-1,0,8,5,8,YES,NO,NO,www.espacesrl.com,"Web E-space, il tuo personal shopper in città","Web E-space, il tuo personal shopper in città",,,,,"Web E-Space, your personal shopper in the city","Web E-Space, your personal shopper in the city",,
PEPPA S.R.L.,IT,Italie,CASORATE PRIMO,VIA S. PROTASO 7,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.reclamesc.com,1,0,0,8,6,5,YES,NO,NO,,Home - Benvenuti nel mondo Reclame!,,,,,,Home - Welcome to the world complaints!,,,
WUNDERWEAR A/S,DK,Danemark,KGSLYNGBY,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialized stores,Retail,,Engaged in the retail sale of clothing in specialized stores [source: Bureau van Dijk],www.wunderwear.dk,1,0,0,8,6,9,YES,NO,NO,,Lingeri og undertøj til alle kvinder | Wunderwear.dk,"Lingeri, undertøj, badetøj, nattøj og strømper. Stort udvalg af kvalitetsmærker og gode pasformer til kvinder med lille eller stor barm. Undertøjsbutik.","lingeri, undertøj, nattøj, strømper, badetøj, undertøjsbutik, bh, trusse, bikini, fuldskål, t-shirtb",,,,Lingerie and Underwear for All Women | Wunderwear.dk,"Lingerie, underwear, swimwear, nightwear and socks. Large selection of quality brands and good fit for women with small or large bosom. Underwear Store.",,
"PASSO, A.S.",SK,Slovaquie,BRATISLAVA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Retail sale of jewelry, watches, precious stones, and precious metals",Retail,,"Retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.sheron.sk,2,1,1,8,7,7,YES,NO,NO,,Úvodná stránka - Sheron,,,,,,The home page - Sheron,,,
DEPORTES IRABIA SL,ES,Espagne,PAMPLONA/IRUNA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale trade of clothing and accessories,Wholesale,Comercio mayor de todo tipo de artículos deportivos,Engaged in the wholesale trade of clothing and accessories [source: Bureau van Dijk],www.intersport.es,0,0,0,8,7,8,YES,NO,YES,deportes-irabia.com,Tienda De Deportes Online Intersport | Envíos Gratuitos,"Tienda de deportes online donde podrás encontrar toda ropa de deporte de mujer, hombre y niños. Descubre las nuevas tendencias en ropa deportiva.",,,,,Intersport online sports shop | Free shipments,"Online sports shop where you can find all women's sport, man and children. Discover the new trends in sportswear.",,
ABATEX A,BE,Belgique,SART-LEZ-SPA,,4764,Commerce de détail d'articles de sport en magasin spécialisé,,,,,abatex.be,0,0,1,8,5,6,YES,NO,NO,,,,,,,,,,,
GIACOBAZZI GIOIELLI S.R.L.,IT,Italie,BOLOGNA,VIA SAN FELICE 14/A,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.giacobazzigioielli.it,0,0,0,8,5,5,YES,NO,NO,,"Giacobazzi Gioielli – Giacobazzi Gioielli è Gioielli, Orologi e Orologi usati di grandi brands",,,,,,"Giacobazzi jewels - Giacobazzi jewels is jewelry, watches and watches used by big brands",,,
P M C,FR,France,BERCK,CENTRE COMMERCIAL CARREFOUR,4771,Commerce de détail d'habillement en magasin spécialisé,,,Commerce et réparation de tous articles et matériels de sports et de loisirs.,,www.magasin-abyss.com,1,0,0,8,7,8,YES,NO,NO,fiaf.org,,,,,,,,,,
SCOPAGIOIELLI S.R.L.,IT,Italie,ROVIGO,PIAZZA VITTORIO EMANUELE II 19,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail distribution of a range of jewelry and other related products; and provision of engraving, personalization, and customization services, as well as jewelry repair services",Retail; Services,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,"Engaged in the retail distribution of a range of jewelry and other related products; and provision of engraving, personalization, and customization services, as well as jewelry repair services [source: Bureau van Dijk]",www.scopagioielli.com,1,0,0,8,5,5,YES,NO,NO,scopagioielli.com,Scopagioielli | Home,"Storica gioielleria con sedi a Ferrara, Rovigo e Treviso",,Scopagioielli | Home,"Storica gioielleria con sedi a Ferrara, Rovigo e Treviso",,Scopagioielli | Home,"Historical jewelry with locations in Ferrara, Rovigo and Treviso",Scopagioielli | Home,"Historical jewelry with locations in Ferrara, Rovigo and Treviso"
PASQUALI DOMENICI SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,VIAREGGIO,VIA CESARE BATTISTI 159/161,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.pasqualidomenici.it,0,0,0,8,7,5,YES,NO,NO,,"Orologi e Gioielli in vendita. Gioielleria Pasquali Domenici, Viareggio",Acquista i tuoi orologi sul sito della gioielleria Pasquali Domenici di Viareggio.,,,,,"Watches and jewels for sale. Pasquali Domenici jewelry, Viareggio",Buy your watches on the Pasquali Domenici jewelry website of Viareggio.,,
8 MARZO S.R.L.,IT,Italie,CASIER,VIA ENRICO BARONE 1 C-D,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.nanaitalianheart.com,0,0,0,8,6,9,YES,NO,NO,,nanà italian heart: abbigliamento donna,"Nanà è la boutique di moda per ogni donna che vuole far risplendere la propria personalità, star bene con sé stessa e trovare capi unici per ogni occasione.",,,,,Nanà Italian Heart: Women's clothing,"Nanà is the fashion boutique for every woman who wants to make her personality shine, feel good with herself and find unique garments for every occasion.",,
MONTRES & BIJOUX S.R.L.,IT,Italie,GENOVA,PIAZZA RAFFAELE DE FERRARI 3/R,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the organization of worldwide trade fairs,Services,"DETTAGLIO DI OREFICERIA, OROLOGERIA E ARTICOLI DA REGALO",Engaged in the organization of worldwide trade fairs [source: Bureau van Dijk],www.montresbijoux.com,2,1,1,8,5,6,YES,NO,NO,montresbijoux.com,Rivenditore  Autorizzato Rolex | Rivenditore Autorizzato Patek Philippe | Laboratorio Orologeria | Gioielleria | | Montres & Bijoux | Montres & Bijoux,Orologeria a Genova | Rivenditore Autorizzato Rolex | Rivenditore Autorizzato Patek Philippe | Laboratorio di orologeria |,Orologeria a Genova | Rivenditore Autorizzato Rolex | Rivenditore Autorizzato Patek Philippe | Laboratorio di orologeria |,Rivenditore  Autorizzato Rolex | Rivenditore Autorizzato Patek Philippe | Laboratorio Orologeria | Gioielleria | | Montres & Bijoux | Montres & Bijoux,Orologeria a Genova | Rivenditore Autorizzato Rolex | Rivenditore Autorizzato Patek Philippe | Laboratorio di orologeria |,Orologeria a Genova | Rivenditore Autorizzato Rolex | Rivenditore Autorizzato Patek Philippe | Laboratorio di orologeria |,Rolex authorized dealer | Patek Philippe authorized dealer | Watchmaking Laboratory | Jewelery | | Montres & Bijoux | Montres & Bijoux,Watchmaking in Genoa | Rolex authorized dealer | Patek Philippe authorized dealer | Watchmaking workshop |,Rolex authorized dealer | Patek Philippe authorized dealer | Watchmaking Laboratory | Jewelery | | Montres & Bijoux | Montres & Bijoux,Watchmaking in Genoa | Rolex authorized dealer | Patek Philippe authorized dealer | Watchmaking workshop |
JOYERIA CALVO MACIAS A CORUNA SL,ES,Espagne,A CORUNA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,Comercio al por menor de artículos de relojería y joyería.,,www.joyeriacalvo.com,0,0,0,8,6,6,YES,NO,NO,,Joyería Calvo: Joyería y relojería,"Joyería Calvo - Atención personalizada online inmediata www.joyeriacalvo.com. Desde 1.962 distribuidor oficial de las firmas de joyería y relojería más prestigiosas. Ubicaciones: La Coruña, Lugo y Ponferrada. &","Relojería Calvo, Alta relojería, Relojería, Coruña, Ponferrada, Lugo, Comprar Reloj, Donde Comprar Reloj, Cartier, Omega, Longines, IWC, Breitling, Hublot, Panerai, Jaeger-LeCoultre, Baume & Mercier, Bell & Ross, Cha",,,,Calvo jewelry: jewelry and watchmaking,"Calvo Jewelry - Immediate Online Personalized Attention www.joyeriacalvo.com. From 1962 official distributor of the most prestigious jewelry and watchmaking firms. Locations: La Coruña, Lugo and Ponferrada. &",,
OLD ENGLAND S.R.L.,IT,Italie,MIRANO,VIA GUGLIELMO MARCONI 21,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of apparel,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail sale of apparel [source: Bureau van Dijk],www.xetraitalia.it,0,0,0,8,6,11,YES,NO,YES,,XETRA,DA PIÙ DI 30 ANNI ACCOMPAGNIAMO LE DONNE NELLE LORO AVVENTURE DI TUTTI I GIORNI.,,,,,Xetra,For more than 30 years we have accompanied women in their everyday adventures.,,
"MASALVES - CALCADO UNIPESSOAL, LDA",PT,Portugal,FELGUEIRAS,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale distribution of men's and boys' clothing and furnishings,Wholesale,"Comércio a retalho de calçado, em estabelecimentos especializados/ Comércio por grosso de calçado/ Comércio a retalho de marroquinaria e artigos de viagem, em estabelecimentos especializados",Engaged in the wholesale distribution of men's and boys' clothing and furnishings [source: Bureau van Dijk],www.manuelalves.pt,0,0,0,8,7,10,YES,NO,NO,manuelalves.pt,"Manuel Alves® Oficial - Botas, Sapatos e Sapatilhas","Loja online Manuel Alves Oficial | Adidas, Nike, New Balance, Skechers, Guess, Reebok... | Homem, Mulher e Criança – Nova Coleção",,"Manuel Alves® Oficial - Botas, Sapatos e Sapatilhas","Loja online Manuel Alves Oficial | Adidas, Nike, New Balance, Skechers, Guess, Reebok... | Homem, Mulher e Criança – Nova Coleção",,"Manuel Alves® Official - Boots, Shoes and Shoes","Online Store Manuel Alves Official | Adidas, Nike, New Balance, Skechers, Guess, Reebok ... | MAN, WOMAN AND CHILD - NEW COLLECTION","Manuel Alves® Official - Boots, Shoes and Shoes","Online Store Manuel Alves Official | Adidas, Nike, New Balance, Skechers, Guess, Reebok ... | MAN, WOMAN AND CHILD - NEW COLLECTION"
AMO DIZAJN JJ D.O.O.,HR,Croatie,ZAGREB,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,0,-1,0,8,6,9,YES,YES,,,,,,,,,,,,
DAD & SONS S.R.L.,IT,Italie,NAPOLI,VIA TOLEDO 418,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,,1,0,0,8,5,9,YES,NO,NO,,,,,,,,,,,
MARTA SRL,IT,Italie,MONTICELLO CONTE OTTO,VIA VENEZIA 5,4771,Commerce de détail d'habillement en magasin spécialisé,An Italy based enterprise engaged in the manufacture and distribution of clothing and other related products,Manufacturing; Wholesale,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",An Italy based enterprise engaged in the manufacture and distribution of clothing and other related products [source: Bureau van Dijk],www.martait.it,1,1,0,7,6,7,YES,NO,NO,,"Marta s.r.l. - Trasmissioni, Tubi, Guarnizioni, Plastica, Gomma",,,,,,"Marta S.r.l. - Transmissions, pipes, gaskets, plastic, rubber",,,
CONAN REY SA,ES,Espagne,MADRID,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale distribution of clothing, footwear, and leather goods",Wholesale,Comercio al por menor de prendas de vestir de marcas de lujo y gestión de tienda física y on line.,"Engaged in the wholesale distribution of clothing, footwear, and leather goods [source: Bureau van Dijk]",www.ekseption.com,0,0,0,7,7,7,YES,YES,,,"Ekseption Madrid | Moda, Belleza y Estilo de Vida de lujo - EKSEPTION","Multimarca de lujo situada en el barrio Salamanca en Madrid, ofrece una variedad única de artículos de moda, bolsos, zapatos, accesorios y artículos para el hogar. Más de 130 marcas como Alaïa, Celine, Gucci, Jacquemus, The Row, Balenciaga, entre otras.",,,,,"Ekseption Madrid | Fashion, beauty and luxury lifestyle - Ekseptation","Multimarca luxury located in the Salamanca neighborhood in Madrid, offers a unique variety of fashion items, bags, shoes, accessories and household items. More than 130 brands such as Alaïa, Celine, Gucci, Jacquemus, The Row, Balenciaga, among others.",,
BB NEW LOOK D.O.O. MOSTAR,BA,Bosnie-Herzégovine,MOSTAR,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,"Retail sale of footwear;Retail sale of men's and women's assemblies;Trade in household goods;Importer and distributor of fashion brands for clothing and footwear: Bugatti, Fynch Hatton, Gant, Lacoste, MAC, Pepe Jeans, Pierre Cardin, Ralph Lauren, Esprit, s.Oliver, Marco Tozzi, Skechers, U.S. Polo Assn, Jack & Jones etc.",www.retrohome.ba,0,0,1,7,6,8,YES,NO,NO,,,,,,,,,,,
MAT - STAR BG EOOD,BG,Bulgarie,MIROVYANE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,,Engaged in the retail sale of footwear [source: Bureau van Dijk],www.matstar.bg,2,1,1,7,6,8,YES,NO,NO,,MatStar,"Открийте стилни и удобни обувки, маратонки и сникърси в MatStar.bg. Нашият богат асортимент включва модерни и качествени модели на достъпни цени, подходящи за всяка визия и повод. С традиции от 1972 г., MatStar предлага идеалната комбинация от комфорт и мода за всеки сезон.","обувки, маратонки, сникърси, дамски обувки, мъжки обувки, детски обувки, спортни обувки, ежедневни обувки, модни обувки, качествени обувки, удобни маратонки, сникърси за всеки ден, MatStar, обувки онлайн, обувки на достъпни цени, спортна мода",,,,Foodstar,"Discover stylish and comfortable shoes, sneakers and snickers at matstar.bg. Our wide range includes modern and quality models at affordable prices, suitable for any vision and occasion. With traditions of 1972, Matstar offers the perfect combination of comfort and fashion for each season.",,
EUROFESHN TREJD UV IZ SKOPJE DOO,MK,Macédoine du Nord,SKOPJE,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,trade in clothes,,1,0,0,7,6,6,YES,NO,NO,,,,,,,,,,,
G&G.PL SP. Z O.O. SP.K.,PL,Pologne,WARSZAWA,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the wholesale of clothing and footwear products,Wholesale,,"Trade: outwear, footwear",www.terranova-on-line.com,1,0,1,7,7,19,YES,NO,NO,,,,,,,,,,,
GIOIELLERIA WARGAS SISTI DEI F.LLI MELANI S.R.L.,IT,Italie,ANCONA,CORSO GIUSEPPE GARIBALDI 39,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the manufacture, repair and retail sale of jewelry products",Manufacturing,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,"Engaged in the manufacture, repair and retail sale of jewelry products [source: Bureau van Dijk]",wargasisti.com,0,0,0,7,6,6,YES,NO,NO,gioielleriawargasisti.com,Gioielleria Wargas Sisti - Dal 1937 la gioielleria degli Anconetani,"Gioielleria Wargas Sisti Ancona e Osimo. Orologi, gioielli, bracciali, anelli, collane, orecchini e molto altro. Scopri tutti i nostri brand.",,,,,Wargas Sisti Jewelery - Since 1937 the Anconetani jewelry store,"Jewelery Wargas Sisti Ancona and Osimo. Watches, jewels, bracelets, rings, necklaces, earrings and much more. Discover all our brands.",,
SKLEP JUBILERSKI SEZAM BOGDAN BUCZEK,PL,Pologne,STARY SACZ,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,,,www.jubilersezam.pl,1,1,1,7,6,7,YES,NO,NO,,"Biżuteria złota, srebrna sklep internetowy online - Sklep Jubilerski Sezam","Nowoczesny sklep internetowy oferujący biżuterię damską i męską - złotą, srebrną, tytanową - w tym obrączki ślubne, pierścionki zaręczynowe, bransolety, naszyjniki, kolczyki.","sklep, prestashop",,,,"Gold jewelry, silver online store online - Sesame jewelry store","A modern online store offering women's and men's jewelry - gold, silver, titanium - including wedding rings, engagement rings, bracelets, necklaces, earrings.",,
GLN S.R.L.,IT,Italie,TARANTO,VIA PRINCIPE AMEDEO 54,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,,0,0,0,7,6,6,YES,NO,NO,,,,,,,,,,,
