,Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description ",Sector,Main activity,Description in Original language,Description in English,Website,"Operating result [=EBIT]
mEUR 2021","Operating result [=EBIT]
mEUR 2020","Operating result [=EBIT]
mEUR 2019","Turnover
mEUR 2021","Turnover
mEUR 2020","Turnover
mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
357,L.A. RETAIL SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,VIAREGGIO,VIA ANTONIO FRATTI 250,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of a range of clothing and footwear products,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail sale of a range of clothing and footwear products [source: Bureau van Dijk],"mail.talamoni.net
www.talamoni.net",0,0,0,6,5,7,YES,NO,NO
358,BIDON S.R.L.,IT,Italie,FOSSALTA DI PORTOGRUARO,VIA ENRICO FERMI,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the retail of all types of footwear, accessories and leather goods",Retail,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,"Engaged in the retail of all types of footwear, accessories and leather goods [source: Bureau van Dijk]","eng.bidon1938.com
bidon1938.com",0,-1,0,6,6,8,YES,YES,
359,PL-CC SP. Z O.O.,PL,Pologne,GOSPODARZ,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,www.pakolorente.eu,1,0,0,6,5,8,YES,NO,NO
360,TRITON,RU,Fédération de Russie,YAKUTSK,UL. LERMONTOVA D. 25,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as other miscellaneous store retailer,Retail,,Operates as other miscellaneous store retailer [source: Bureau van Dijk],www.triton.ru,1,1,1,6,6,8,YES,NO,NO
361,VALENTI MULTISTORE S.R.L.,IT,Italie,ROGNO,VIA SANTA RITA DA CASCIA 5,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale and retail distribution of a general line of new clothing for men, women, and children",Wholesale; Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,"Engaged in the wholesale and retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]",www.tankfashion.com,1,0,0,6,4,6,YES,NO,NO
362,JOYERIA AURELIO MARCOS SL,ES,Espagne,MALAGA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,Venta al detalle de artículos de joyería y relojería.,,www.joyeriamarcos.com,1,1,1,6,5,5,YES,NO,NO
363,TEBRO SRL,IT,Italie,ROMA,VIA DEI PREFETTI 46,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in retail trade of articles of knitwear for men and women and household linen,Retail,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",Engaged in retail trade of articles of knitwear for men and women and household linen [source: Bureau van Dijk],"www.tebro.it
tebro.it",0,0,0,6,5,6,YES,NO,NO
364,"ANTONIO RODRIGUES MOTA & FILHOS, LDA",PT,Portugal,PONTA DELGADA,,4751,Commerce de détail de textiles en magasin spécialisé,Operates as a drug store engaged in the retail sale of pharmaceutical goods,Retail,"Comércio a retalho de têxteis, em estabelecimentos especializados",Operates as a drug store engaged in the retail sale of pharmaceutical goods [source: Bureau van Dijk],www.euromotas.com,0,0,0,6,6,7,YES,NO,NO
365,PRZEDSIEBIORSTWO PRODUKCYJNO-HANDLOWE ELWIX SP. Z O.O.,PL,Pologne,LUBLIN,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,www.elwix.pl,1,0,0,6,5,7,YES,NO,NO
366,MULLBECK AB,SE,Suède,GOTEBORG,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of knitted and crocheted apparel,Retail,"Bolaget skall bedriva försäljning av kläder, väskor och stövlarävensom idka därmed förenlig verksamhet.","Bolaget skall bedriva forsaljning av klader, vaskor och stovlaravensom idka darmed forenlig verksamhet.",www.mullbeck.se,0,-1,0,6,7,8,YES,YES,
367,FCR FRANCONVILLE,FR,France,FRANCONVILLE,,4771,Commerce de détail d'habillement en magasin spécialisé,,,"Achat, vente de tout article se rapportant -directement ou indirectement- au secteur de l'habillement, la participation de la société -par tous moyens- directement ou indirectement, dans toutes opérations pouvant se rattacher à son objet par voie de création de sociétés nouvelles, d'apport, de souscription ou achat de titres ou droits sociaux, de fusion ou autrement, de création, d'acquisition, de location, de prise en location-gérance de tous fonds de commerce ou d'établissements. la prise, l'acquisition, l'exploitation ou la cession de tous procédés et brevets concernant Ces activités.",,,1,0,1,6,6,7,YES,NO,NO
368,OLIMPINVEST,RU,Fédération de Russie,SOCHI,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,1,0,0,6,5,8,YES,NO,NO
369,SAVVA,RU,Fédération de Russie,SAINT-PETERSBURG,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,,,fondsavva.ru,0,0,1,6,4,8,YES,NO,NO
370,PIRETTI ANTICHITA' S.R.L.,IT,Italie,BOLOGNA,GALLERIA CAMILLO BENSO CONTE DI CAVOUR 7/F,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.piretti.it,0,0,0,6,6,7,YES,NO,NO
371,UNION MAGAZZINI MODA - S.R.L.,IT,Italie,TERRANUOVA BRACCIOLINI,VIA POGGILUPI 420,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],www.porcellottimoda.com,0,0,0,6,4,7,YES,NO,NO
372,OESTFOLD MOTE AS,NO,Norvège,TOENSBERG,SJOEVEIEN 6,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing and apparel store,Retail,"HANDEL, SAMT ALL ANNEN VERDISKAPENDE VIRKSOMHET.",Operates as a clothing and apparel store [source: Bureau van Dijk],,1,1,1,6,5,5,YES,NO,NO
373,VITAPUR D.O.O.,HR,Croatie,ZAGREB,,4751,Commerce de détail de textiles en magasin spécialisé,,,,,"www.vitapur.hr
vitapur.hr",0,0,0,6,5,5,YES,YES,
374,ANTINASU & RATSULA OY,FI,Finlande,PORI,,4771,Commerce de détail d'habillement en magasin spécialisé,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,"Yhtiön toimialana on tekstiili- ja nahkatuotteiden, kosmetiikan ja jalkineiden sekä lahja- ja sisutustavaroiden tukku- ja vähittäiskauppa, tuonti ja vienti, alan kauppapalvelut, kahvilatoiminta sekä kiinteistöjen, asunto- ja liikehuoneistojen sekä toimialaan liittyvän irtaimen omaisuuden sekä erilaisen kuljetuskaluston kauppa ja vuokraustoiminta sekä arvopaperikauppa.","Yhtion toimialana on tekstiili- ja nahkatuotteiden, kosmetiikan ja jalkineiden seka lahja- ja sisutustavaroiden tukku- ja vahittaiskauppa, tuonti ja vienti, alan kauppapalvelut, kahvilatoiminta seka kiinteistojen, asunto- ja liikehuoneistojen seka toimialaan liittyvan irtaimen omaisuuden seka erilaisen kuljetuskaluston kauppa ja vuokraustoiminta seka arvopaperikauppa.",www.ratsula.fi,0,0,-1,6,6,8,YES,NO,YES
375,TIMMERMANS,BE,Belgique,BELSELE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear and leather goods,Retail,,Engaged in the retail sale of footwear and leather goods [source: Bureau van Dijk],www.timmermans.be,0,-1,-1,6,5,7,YES,YES,
376,MAMIC 1970 D.O.O.,HR,Croatie,ZAGREB,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,,,mamic.hr,1,1,1,6,5,4,YES,NO,NO
377,POLARIS - S.R.L.,IT,Italie,PORTO SAN GIORGIO,VIA ENRICO MEDI 6,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the retail trade of shoes, clothes and jewelry",Retail,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,"Engaged in the retail trade of shoes, clothes and jewelry [source: Bureau van Dijk]",,0,-1,0,6,5,8,YES,NO,YES
378,ILIC-TRGOVINA D.O.O.,BA,Bosnie-Herzégovine,ZVORNIK,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,,Retail sale of footwear and leather goods in specialised stores,www.solekomerc.co.rs,1,0,0,6,5,6,YES,NO,NO
379,VACCARI GIOIELLI SRL,IT,Italie,REGGIO NELL'EMILIA,VIA EMILIA SAN PIETRO 27/B,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,"www.vaccarigioielli.com
vaccarigioielli.com",1,1,1,6,6,6,YES,NO,NO
380,SPORT CHIC,FR,France,NEUILLY SUR SEINE,,4771,Commerce de détail d'habillement en magasin spécialisé,,,"Vente événementielle en show room. réalisation, organisation de ventes privées sur invitation.",,,1,0,0,6,5,4,YES,NO,NO
381,CHARGET S.R.L.,IT,Italie,SAN GIULIANO TERME,VIA GIOSUE' CARDUCCI 64/A,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],www.charget.it,0,0,0,6,6,12,YES,NO,NO
382,SI ANELLI S.R.L.,IT,Italie,RAVENNA,VIA CAMILLO BENSO CONTE DI CAVOUR 2,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.sianelli.it,0,0,0,6,5,8,YES,NO,NO
383,LA VESTI BENE S.R.L.,IT,Italie,SOLESINO,VIA NAZIONALE 1269 INT.2,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,"Engaged in the retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]",www.lavestibene.it,0,0,0,6,4,7,YES,NO,NO
384,SQUALO S.R.L.,IT,Italie,MILANO,VIA ALFREDO CAPPELLINI 23,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of men's and women's clothing and furnishings,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail distribution of men's and women's clothing and furnishings [source: Bureau van Dijk],www.furla.com,0,0,1,6,5,6,YES,NO,NO
385,BLU SRL,IT,Italie,CARPI,VIA LAGO SCAFFAIOLO 29,4771,Commerce de détail d'habillement en magasin spécialisé,,,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",Clothing retailer [source: Bureau van Dijk],"www.blusrl.eu
www.bluitaliasrl.com",0,0,0,6,5,7,YES,NO,NO
386,LACHU E HIJOS SOCIEDAD LIMITADA,ES,Espagne,LAS PALMAS DE GRAN CANARIA,,4771,Commerce de détail d'habillement en magasin spécialisé,,,Venta al menor de moda y complementos.,,www.yogijeans.com,1,1,1,6,5,6,YES,NO,NO
387,LE FOLLIE S.R.L.,IT,Italie,AFFI,VIA PASCOLI 36,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,,www.lefollieshop.com,0,0,0,6,5,7,YES,NO,NO
388,JOSE LUIS OLAZABAL OZCARIZ SL,ES,Espagne,DONOSTIA/SAN SEBASTIAN,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,Explotacion joyería.,,www.joyeriaolazabal.com,1,1,1,6,4,4,YES,NO,NO
389,VM S.R.L.,IT,Italie,FOSSALTA DI PORTOGRUARO,VIA IPPOLITO NIEVO 24,4771,Commerce de détail d'habillement en magasin spécialisé,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]","www.magazzinivoltolina.com
www.vm-italia.com",0,0,1,6,5,7,YES,NO,NO
390,FRISCO INTERNATIONAL CLOTHING SA,ES,Espagne,MALAGA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing products in Spain,Retail,"Explotación de tiendas de ropa de hombre, mujer y niño.",Engaged in the retail sale of clothing products in Spain [source: Bureau van Dijk],"www.fcandcompany.com
fcandcompany.com",0,-1,0,6,4,7,YES,YES,
391,"CASA DAS PELES - CONFECCOES, S.A.",PT,Portugal,LISBOA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of family clothing stores,Retail,Grossista e retalhista de confeções em pele e marroquinarias - 100%,Engaged in the management and operation of family clothing stores [source: Bureau van Dijk],www.casadaspeles.pt,0,0,2,6,5,10,YES,NO,NO
392,ARTE S.R.L.,IT,Italie,TREVIGLIO,VICOLO ANTONIO GENDERINI 1,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,"www.nightmarket.it
www.bertoliniarte.it",0,0,0,6,6,7,YES,NO,NO
393,NNCK ITALIA S.R.L.,IT,Italie,CARPI,,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,"corporate.nafnaf.it
www.nafnaf.it",0,-1,0,6,4,5,YES,YES,
394,LE RELAIS NORD EST ILE DE FRANCE,FR,France,PLOISY,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the creation of jobs for people in situations of exclusion through the collection and recycling of textiles and paper,Services,Création d'emplois pour les personnes en situation d'exclusion par le biais de la collecte et de la valorisation de textiles et papiers.,Engaged in the creation of jobs for people in situations of exclusion through the collection and recycling of textiles and paper [source: Bureau van Dijk],"www.lerelais.org
www.lerelais-soissons.org",0,-1,0,6,4,5,YES,NO,YES
395,LIMITED LIABILITY COMPANY SUNSHINE,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,suns.ru,1,0,0,6,4,6,YES,NO,NO
396,GIOIELLERIA SALVINI - S.R.L.,IT,Italie,MASSA,VIALE EUGENIO CHIESA 7,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,GIOIELLERIA,,"gioielleriesalvini.it
www.gioielleriasalvini.it",1,0,0,6,4,6,YES,NO,NO
397,LAHDEN KELLOKESKUS OY,FI,Finlande,LAHTI,PL 222,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Yhtiön toimialana on kello- ja kulta-alaan kuuluvien tuotteiden tukku- ja vähittäiskauppa sekä alan huolto- ja korjaustoiminta. Edelleen yhtiön toimialana on koti- ja ulkomaisten kiinteistöjen, asunto-, kiinteistö-, loma- ja arvopaperiosakkeiden, osuuksien ja oikeuksien omistaminen, hallinnointi, osto, myynti ja vuokraus.","Yhtion toimialana on kello- ja kulta-alaan kuuluvien tuotteiden tukku- ja vahittaiskauppa seka alan huolto- ja korjaustoiminta. Edelleen yhtion toimialana on koti- ja ulkomaisten kiinteistojen, asunto-, kiinteisto-, loma- ja arvopaperiosakkeiden, osuuksien ja oikeuksien omistaminen, hallinnointi, osto, myynti ja vuokraus.","www.timanttiset.fi
www.kalevalashop.com",0,0,0,6,5,4,YES,NO,NO
398,TIFOTEX SP. Z O.O.,PL,Pologne,ANDRYCHOW,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,www.tifo.com.pl,0,0,0,6,6,10,YES,YES,
399,PROIEZIONE SRL,IT,Italie,MILANO,VIA ALESSANDRO MANZONI 44,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of specialized lines of apparel and accessories,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail sale of specialized lines of apparel and accessories [source: Bureau van Dijk],"www.dmagazine.it
www.dmag.eu",0,0,0,6,4,8,YES,NO,NO
400,JOSE SANGIL SL,ES,Espagne,GANDIA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,"Explotación de joyería, relojería",,www.prjoyeros.com,1,1,0,6,5,6,YES,NO,NO
401,NOSSA S.R.L.,IT,Italie,VARESE,VIALE BELFORTE 315,4771,Commerce de détail d'habillement en magasin spécialisé,,,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",,,0,0,0,6,4,6,YES,NO,NO
402,ZANABONI S.R.L.,IT,Italie,ARONA,VIA CAMILLO BENSO CONTE DI CAVOUR 97,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.zanabonigioielli.it,1,1,1,6,5,5,YES,NO,NO
403,SMART TRADING LTDOOD EOOD,BG,Bulgarie,SOFIA,"BUL. VITOSHA 38, MAGAZIN ROYAL HOUSE",4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,"???????? ? ???????? ?????????, ??????????????, ?????? ? ??.","Trade in watches, jewellery and miscellaneous other present articles",,0,0,0,6,5,8,YES,NO,NO
404,DANI GROUP SRL,IT,Italie,FONTANIVA,VIA DEL LAVORO 23,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.danishoppingonline.com,0,0,0,6,4,7,YES,NO,NO
405,NITTA GIOIELLI S.R.L.,IT,Italie,UDINE,VIA RIALTO 19,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the operation of department stores,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the operation of department stores [source: Bureau van Dijk],"nittagioielli.com
www.nittagioielli.com",0,0,0,6,4,5,YES,NO,NO
406,CHRISTIAN LOUBOUTIN ESPANA SA,ES,Espagne,MADRID,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,Explotación y gestión de boutique oficial de Cristian Louboutin.,,eu.christianlouboutin.com/es_en,0,0,0,5,5,7,YES,YES,
407,VIA PARADISO,ME,Monténégro,PODGORICA,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,Retail sale of clothing in specialised stores,www.viaparadiso.me,0,0,1,6,6,8,YES,NO,NO
408,UAB TOMAS GOLD,LT,Lituanie,KLAIPEDOS M.,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,,,www.tomasgold.lt,1,1,0,6,5,5,YES,NO,NO
409,LIFESTYLE S.R.L.,IT,Italie,ROMA,VIA MONTE NIBBIO 25/G-H,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.lifestyle-bugatti.com,0,0,0,6,4,5,YES,NO,NO
410,F.G. FECAROTTA GIOIELLI S.R.L.,IT,Italie,PALERMO,VIA RUGGIERO SETTIMO 68,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of colored gemstones and studded jewelry,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the retail trade of colored gemstones and studded jewelry [source: Bureau van Dijk],"www.fecarotta.com
www.fecarotta.it",1,0,0,6,5,5,YES,NO,NO
411,EMILIO LOPEZ ALVARINO SL,ES,Espagne,LUGO,,4771,Commerce de détail d'habillement en magasin spécialisé,,,"Venta al por menor de ropa,principlamente ropa juvenil y complementos.",,www.korner.es,1,0,1,6,5,7,YES,NO,NO
412,BLONDI GIOIELLI S.P.A.,IT,Italie,MODENA,VIA EMILIA 88,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"An Italy based enterprise engaged in the wholesale of jewelry, watches, precious stones, and precious metals",Wholesale; Services,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,"An Italy based enterprise engaged in the wholesale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]","www.blondi.it
blondi.it",0,0,0,6,4,7,YES,NO,NO
413,E. CANALI SRL,IT,Italie,MONZA,VIA ITALIA 44,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OGGETTI PREZIOSI,,www.gioielleriacanali.it,1,1,1,6,6,7,YES,NO,NO
414,MININ S.R.L.,IT,Italie,PORPETTO,VIA UDINE 107,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of clothing and accessories and other related products,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the retail of clothing and accessories and other related products [source: Bureau van Dijk],www.minin.it,0,0,0,5,4,6,YES,NO,YES
415,"TRGOS, PODJETJE ZA PROIZVODNJO, RACUNOVODSKE STORITVE, TRGOVINO, GOSTINSTVO IN TURIZEM, D.O.O., BLED",SI,Slovénie,BLED,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,www.trgos.si,1,1,0,5,6,4,YES,NO,NO
416,TORREGROSSA SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,PALERMO,VIA DELLA LIBERTA' 3/5,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of clothing stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the management and operation of clothing stores [source: Bureau van Dijk],"www.torregrossaboutique.com
www.bizweek.it/index.php/it/ads/57d6be589313b/Abbigliamento/Torregrossa",1,0,0,5,5,5,YES,NO,NO
417,SANDVIK SKO AS,NO,Norvège,GAUPNE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the management and operation of shoe stores,Retail,"SALG AV SKOTØY MED NATURLIG TILBEHØR, SAMT ALT HVA HERMED STÅR I FORBINDELSE, HERUNDER Å DELTA I ANDRE SELSKAP.",Engaged in the management and operation of shoe stores [source: Bureau van Dijk],,0,0,0,5,4,5,YES,NO,NO
418,KARI AUKIA OY,FI,Finlande,VAASA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,"Yhtiön toimialana on vaatteiden ja tekstiilien vähittäiskauppa. Yhtiö voi myös ostaa, myydä, vuokrata ja hallita kiinteistöjä ja osakehuoneistoja sekä harjoittaa arvopaperikauppaa.","Yhtion toimialana on vaatteiden ja tekstiilien vahittaiskauppa. Yhtio voi myos ostaa, myyda, vuokrata ja hallita kiinteistoja ja osakehuoneistoja seka harjoittaa arvopaperikauppaa.",www.aukia.fi,0,0,0,6,5,8,YES,NO,YES
419,STAR ALLIANCE EOOD,BG,Bulgarie,SOFIA,UL. VLADAYSKA REKA 8,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,,,www.tendenzstore.com,1,0,0,5,6,7,YES,NO,NO
420,"FATIMA MENDES, S.A.",PT,Portugal,GUIMARAES,,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a family clothing store,Retail,"Importação e venda de artigos de vestuário, calçado, acessórios, bijuterias, bolsas, bagagem, marroquinaria de senhora, homem e criança, bem como artigos de decoração",Operates as a family clothing store [source: Bureau van Dijk],www.fatimamendes.com,0,0,0,5,5,5,YES,NO,NO
421,BRAVI S.P.A.,IT,Italie,CONEGLIANO,VIA ALESSANDRO VOLTA 16,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of garments for adults in Italy,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the retail trade of garments for adults in Italy [source: Bureau van Dijk],"www.bravispa.it
braviconegliano.it",0,0,0,5,4,6,YES,NO,NO
422,FALETTI MULTISTORE S.R.L.,IT,Italie,DARFO BOARIO TERME,CORSO ROBERTO ENEA LEPETIT 15,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels,Retail,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",Engaged in the retail trade of clothing apparels [source: Bureau van Dijk],www.falettimultistore.it,0,0,0,5,4,5,YES,NO,YES
423,GINEVRA CALZATURE S.R.L.,IT,Italie,ACQUALAGNA,VIA CASE NUOVE 25/D,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,,"www.calzatureginevra.com
calzatureginevra.it",0,0,0,5,5,5,YES,NO,NO
424,TRADIZIONE MODA S.R.L.,IT,Italie,PAESE,VIA GIUSEPPE DI VITTORIO 2,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the manufacture and distribution of clothing and other related products,Manufacturing; Wholesale,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the manufacture and distribution of clothing and other related products [source: Bureau van Dijk],,0,0,1,5,4,6,YES,NO,NO
425,MAZZUCCHELLI CALZATURE SRL,IT,Italie,BESNATE,VIA TOMASETTO 2,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear products,Retail,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,Engaged in the retail sale of footwear products [source: Bureau van Dijk],www.mazzucchellicalzature.it,0,0,0,5,5,7,YES,YES,
426,IDEME,FR,France,THOUARS,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale trade of apparel, accessories and other textile products",Wholesale,Le fonds de commerce de vente de prêt-à-porter féminin,"Engaged in the wholesale trade of apparel, accessories and other textile products [source: Bureau van Dijk]",www.patrice-breal.fr,0,0,0,5,5,6,YES,YES,
427,DOF,RU,Fédération de Russie,BUINAKSK,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,0,1,2,5,5,7,YES,NO,NO
428,PAWO - MEN SP. Z O.O. SP.K.,PL,Pologne,PABIANICE,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the manufacture of men's and boys' trousers and slacks; men's and boys' suits,Manufacturing,,Engaged in the manufacture of men's and boys' trousers and slacks; men's and boys' suits [source: Bureau van Dijk],www.pawo.pl,0,-1,0,5,5,9,YES,YES,
429,SG GIUGLIANO S.R.L.,IT,Italie,NOLA,CORSO TOMMASO VITALE 169/171,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,www.giuglianouomo.it,0,0,0,5,5,5,YES,NO,NO
430,JG STORES S.R.O.,SK,Slovaquie,SPISSKA NOVA VES,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,,,,0,0,0,5,6,9,YES,NO,YES
431,WHITEHORSE HANDELSGMBH,AT,Autriche,ST. AEGIDI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of Jack Wolfskin clothing and footwear,Retail,Eingetragener Gegenstand: Ein- und Verkauf von Produkten des JACK WOLFSKIN Produktsortimentes. Weiters seit Ende März 2013 Werbeagentur.,Engaged in the retail sale of Jack Wolfskin clothing and footwear [source: Bureau van Dijk],www.jack-wolfskin.at,n.d.,n.d.,n.d.,5,7,8,NO,NO,#DIV/0!
